,username,fullname,followers,profile_link,biography
0,"
              jenjako
            ","
              Jennifer Jako
            ","
                  476
                ",https://www.instagram.com/jenjako,"
              design pattern design pattern design pattern design pattern design pattern design pattern design pattern design pattern
            "
1,"
              jaanaekman
            ","
              Jaana Ekman
            ","
                  1.3k
                ",https://www.instagram.com/jaanaekman,"
              Designer @vdphelsinki. Architecture, Design, Restaurant design, Bar design, Hotel design, Interior design, Design Company
            "
2,"
              xnilh
            ","
              NILH
            ","
                  1.1k
                ",https://www.instagram.com/xnilh,"
              Eat. Sleep. Design. Désigń. Deşiğn.
            "
3,"
              datanadala
            ","
              Natalia Data
            ","
                  348
                ",https://www.instagram.com/datanadala,"
              designer      costume designer   interior designer
            "
4,"
              hardieee
            ","
              Hardie
            ","
                  529
                ",https://www.instagram.com/hardieee,"
              Graphic Designer. Graphic Designer. Graphic Designer. Graphic Designer. Graphic Designer. Graphic Designer. Graphic Designer. Graphic Designer.
            "
5,"
              giuseppe_vigano
            ","
              Giuseppe Viganò Designer
            ","
                  3.7k
                ",https://www.instagram.com/giuseppe_vigano,"
              #designer #design
            "
6,"
              agathadefry
            ","
              Defry Agatha Ardianta
            ","
                  4.7k
                ",https://www.instagram.com/agathadefry,"
              designer's designer
            "
7,"
              idiom.design
            ","
              Idiom Design and Consulting
            ","
                  535
                ",https://www.instagram.com/idiom.design,"
              Culture Design • Social Design • Graphic Design • Space Design • Impact Design • Experience Design • Branding 
        Bangalore | India
            "
8,"
              cadusilvadesignbr
            ","
              Cadu Silva
            ","
                  2.2k
                ",https://www.instagram.com/cadusilvadesignbr,"
              Designer de Produto.
        Produto do design.
        -
        Industrial designer.
        Shaped by design.
            "
9,"
              lewayart
            ","
              Lee
            ","
                  186
                ",https://www.instagram.com/lewayart,"
              Artist
        Logo design
        Product design
        Digital design
        And Tattoo design
            "
